owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color,dog_dob
20510,41-50,m,9,91,Berger blanc Suisse,NA,NA,NA,I,2006,m,weiss,2006-07-10
65975,61-70,w,7,74,Labrador Retriever,NA,NA,NA,I,2006,m,schwarz,2006-08-10
66144,51-60,m,5,51,Labrador Retriever,NA,NA,NA,I,2006,m,braun,2006-02-10
66266,61-70,m,9,91,Mischling klein,NA,NA,NA,K,2006,w,tricolor,2006-07-10
70287,51-60,m,2,24,Hirtenhund,NA,NA,NA,I,2006,m,weiss/grau,2006-08-10
80007,71-80,m,11,111,Labrador Retriever,NA,NA,NA,I,2006,m,blondfarben,2006-05-10
80017,61-70,m,6,61,Labrador Retriever,NA,NA,NA,I,2006,w,schwarz,2006-03-10
80056,81-90,m,7,74,Labrador Retriever,NA,NA,NA,I,2006,w,schwarz,2006-07-10
80097,61-70,m,6,61,Jack Russel Terrier,NA,NA,NA,K,2006,m,schwarz/weiss,2006-06-10
80230,61-70,w,9,92,Yorkshire Terrier,NA,NA,NA,K,2006,m,braun/weiss,2006-01-10
80230,61-70,w,9,92,Yorkshire Terrier,Mischling,NA,NA,K,2006,w,schwarz/braun,2006-05-10
80267,41-50,m,12,122,Mischling klein,NA,NA,NA,K,2006,m,braun,2006-11-10
80319,41-50,w,10,102,Mischling klein,NA,NA,NA,K,2006,m,braun/schwarz,2006-12-10
80418,41-50,w,8,81,Labrador Retriever,NA,NA,NA,I,2006,m,schwarz,2006-05-10
80434,61-70,w,7,71,Pudel,Mischling,NA,NA,K,2006,m,schwarz,2006-06-10
80438,71-80,m,7,71,Deutscher Wachtel,NA,NA,NA,I,2006,w,rotbraun schimmel,2006-04-10
80491,71-80,w,6,63,Chihuahua,NA,NA,NA,K,2006,w,braun,2006-10-10
80493,81-90,w,11,119,Shih Tzu,NA,NA,NA,K,2006,m,weiss/schwarz,2006-11-10
80545,51-60,m,9,91,Border Terrier,NA,NA,NA,K,2006,w,schwarz/braun,2006-04-10
80847,71-80,m,9,91,Beagle,NA,NA,NA,K,2006,w,tricolor,2006-04-10
80881,71-80,w,7,72,Mops,NA,NA,NA,K,2006,m,beige,2006-09-10
80915,71-80,w,3,34,Golden Retriever,NA,NA,NA,I,2006,w,blondfarben,2006-08-10
81004,61-70,w,9,92,Scottish Terrier,NA,NA,NA,K,2006,m,brindle,2006-09-10
81184,61-70,w,9,92,Italienisches Windspiel,NA,NA,NA,K,2006,w,schwarz,2006-05-10
81309,71-80,w,10,102,Yorkshire Terrier,Mischling,NA,NA,K,2006,w,schwarz/braun,2006-10-10
81348,71-80,w,7,71,Golden Retriever,NA,NA,NA,I,2006,w,golden,2006-01-10
81377,41-50,m,6,63,Bearded Collie,NA,NA,NA,I,2006,m,grau/weiss,2006-03-10
81407,71-80,m,6,63,Border Collie,NA,NA,NA,I,2006,w,schwarz,2006-10-10
