owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color,dog_dob
4054,51-60,w,11,111,Lagotto Romagnolo,NA,NA,NA,I,2016,w,weiss/beige,2016-05-10
4206,71-80,w,8,82,Havaneser,NA,NA,NA,K,2016,w,hellbraun/weiss,2016-04-10
5040,61-70,m,10,102,Labrador Retriever,NA,NA,NA,I,2016,w,gelb,2016-10-10
6071,61-70,m,3,34,Pointer,Mischling,NA,NA,I,2016,m,schwarz,2016-01-10
18416,61-70,m,7,72,Zwergspitz,NA,NA,NA,K,2016,m,weiss,2016-01-10
19225,61-70,w,12,122,Neufundländer,NA,NA,NA,I,2016,m,braun/weiss,2016-10-10
24009,61-70,w,7,74,Labradoodle,NA,NA,NA,I,2016,m,creme,2016-10-10
70115,41-50,w,4,41,Mischling gross,NA,NA,NA,I,2016,m,schwarz/weiss,2016-10-10
80205,41-50,m,5,51,Beauceron Berge de Beauce,NA,NA,NA,I,2016,m,schwarz/braun,2016-03-10
80258,51-60,m,11,111,Weimaraner,NA,NA,NA,I,2016,w,grau,2016-10-10
80370,51-60,m,12,121,Deutscher Schäfer,NA,NA,NA,I,2016,m,schwarz/braun,2016-06-10
80628,61-70,m,9,91,Labrador Retriever,NA,NA,NA,I,2016,w,schwarz,2016-11-10
80698,41-50,w,11,119,Toypudel,NA,NA,NA,K,2016,m,rot,2016-11-10
80746,71-80,w,7,71,Rauhaar Dackel,NA,NA,NA,K,2016,m,schwarz/rot,2016-06-10
80879,61-70,m,7,74,Nova Scotia Duck Tolling Retriever,NA,NA,NA,I,2016,w,rot/weiss,2016-03-10
80904,61-70,m,8,82,Border Collie,Mischling,NA,NA,I,2016,w,tricolor,2016-11-10
80959,51-60,w,8,82,Spinone,NA,NA,NA,I,2016,w,braun schimmel,2016-05-10
81004,61-70,w,9,92,Mischling klein,NA,NA,NA,K,2016,w,beige/rot,2016-02-10
81108,51-60,w,1,13,Phalène,NA,NA,NA,K,2016,w,tricolor,2016-04-10
81357,51-60,w,2,21,Mittelpudel,NA,NA,NA,K,2016,w,schwarz,2016-04-10
81457,41-50,w,7,73,Beagle,NA,NA,NA,K,2016,w,tricolor,2016-01-10
81509,71-80,w,12,122,Spaniel,NA,NA,NA,K,2016,m,braun/weiss,2016-04-10
81648,41-50,w,10,101,Bolonka Zwetna,NA,NA,NA,K,2016,w,schwarz/weiss,2016-08-10
81715,71-80,w,12,122,Altdeutscher Schäfer,NA,NA,NA,I,2016,w,schwarz,2016-09-10
81973,51-60,w,12,121,Jack Russel Terrier,NA,NA,NA,K,2016,m,tricolor,2016-05-10
82112,71-80,m,9,91,Cocker Spaniel,NA,NA,NA,K,2016,w,rot,2016-01-10
82195,71-80,w,7,74,Biewer Yorkshire Terrier,NA,NA,NA,K,2016,m,schwarz/weiss,2016-04-10
82486,61-70,m,6,63,Bergamasker,NA,Border Collie,NA,I,2016,w,tricolor,2016-12-10
82653,71-80,m,5,52,Border Collie,NA,Entlebucher,NA,I,2016,m,tricolor,2016-01-10
82661,71-80,m,7,74,Labrador Retriever,NA,NA,NA,I,2016,w,gelb,2016-10-10
82671,51-60,w,7,74,Continental Bulldog,NA,NA,NA,I,2016,w,schwarz/braun,2016-09-10
82671,51-60,w,7,74,Continental Bulldog,NA,NA,NA,I,2016,w,schwarz/weiss,2016-07-10
82671,51-60,w,7,74,Continental Bulldog,NA,NA,NA,I,2016,w,schwarz/weiss,2016-06-10
83052,51-60,w,3,33,Bolonka Zwetna,NA,NA,NA,K,2016,w,schwarz,2016-12-10
83130,61-70,w,9,92,Zwergpudel,NA,NA,NA,K,2016,w,black/tan,2016-01-10
83171,51-60,w,7,73,Chihuahua,NA,NA,NA,K,2016,w,beige/braun,2016-07-10
83517,61-70,w,10,102,Papillon,NA,NA,NA,K,2016,w,rotbraun/weiss,2016-06-10
84126,61-70,m,9,92,Riesenschnauzer,NA,NA,NA,I,2016,w,schwarz,2016-10-10
84393,41-50,w,10,102,Französische Bulldogge,NA,NA,NA,K,2016,m,schwarz/weiss,2016-10-10
84562,61-70,w,7,71,Entlebucher Sennenhund,Mischling,NA,NA,I,2016,w,braun/weiss,2016-06-10
84563,61-70,w,2,24,Berner Sennenhund,NA,NA,NA,I,2016,m,schwarz/braun/weiss,2016-04-10
84825,51-60,w,10,101,Tervueren,NA,Belgischer Schäfer,NA,I,2016,m,beige,2016-09-10
85002,51-60,w,3,33,Bobtail,NA,NA,NA,I,2016,w,grau/weiss,2016-01-10
85248,61-70,w,11,119,Mischling gross,NA,NA,NA,I,2016,w,tricolor,2016-11-10
85760,61-70,w,9,91,Mischling gross,NA,NA,NA,I,2016,m,gestromt,2016-10-10
85834,51-60,w,9,92,West Highland White Terrier,NA,NA,NA,K,2016,w,weiss,2016-05-10
85890,51-60,w,9,92,Pekingese,NA,NA,NA,K,2016,m,braun/schwarz,2016-08-10
86134,71-80,m,12,121,Tibet Terrier,NA,NA,NA,K,2016,m,hellbraun,2016-07-10
86268,51-60,w,7,73,Mischling gross,NA,NA,NA,I,2016,m,hellbraun,2016-11-10
86468,61-70,w,7,72,Tibet Terrier,NA,NA,NA,K,2016,m,zobel,2016-01-10
86500,61-70,w,7,74,Cavalier King Charles Spaniel,NA,NA,NA,K,2016,m,rotbraun,2016-10-10
86712,41-50,w,9,92,Mischling gross,NA,NA,NA,I,2016,m,braun,2016-12-10
86814,51-60,w,3,31,Mischling klein,NA,NA,NA,K,2016,m,weiss/schwarz,2016-05-10
86847,51-60,w,3,33,Irish Soft Coated Wheaten Terrier,NA,NA,NA,I,2016,w,beige,2016-09-10
87026,71-80,w,7,71,Entlebucher Sennenhund,NA,NA,NA,I,2016,m,tricolor,2016-09-10
87172,51-60,w,10,102,Parson Russell Terrier,NA,NA,NA,K,2016,w,weiss/schwarz/braun,2016-03-10
87307,31-40,w,6,61,Chihuahua,NA,NA,NA,K,2016,m,braun/weiss,2016-08-10
87316,61-70,w,6,63,Zwergschnauzer,NA,NA,NA,K,2016,m,schwarz/silber,2016-09-10
87367,41-50,w,2,21,Border Collie,NA,NA,NA,I,2016,w,tricolor,2016-08-10
87548,51-60,w,2,21,Französische Bulldogge,NA,NA,NA,K,2016,m,schwarz,2016-03-10
87582,41-50,m,4,41,Boston Terrier,NA,NA,NA,K,2016,w,blau/weiss,2016-04-10
87612,41-50,w,12,122,Chihuahua,NA,NA,NA,K,2016,m,weiss/schwarz,2016-09-10
87649,61-70,m,3,33,Labrador Retriever,Mischling,NA,NA,I,2016,w,schwarz,2016-09-10
87787,71-80,w,7,72,Mischling klein,NA,NA,NA,K,2016,w,braun/beige,2016-09-10
87815,71-80,w,4,42,Shih Tzu,NA,NA,NA,K,2016,m,weiss/schwarz,2016-05-10
87816,51-60,w,3,33,Mischling gross,NA,NA,NA,I,2016,w,weiss/braun,2016-06-10
88122,51-60,w,7,74,Hovawart,NA,NA,NA,I,2016,w,schwarz,2016-06-10
88183,51-60,w,8,83,Yorkshire Terrier,NA,NA,NA,K,2016,m,schwarz/braun,2016-10-10
88203,61-70,w,7,73,Miniature Bull Terrier,NA,NA,NA,K,2016,w,schwarz/weiss,2016-01-10
88250,31-40,w,7,74,Sibirischer Husky,NA,NA,NA,I,2016,w,tricolor,2016-06-10
88250,31-40,w,7,74,Sibirischer Husky,NA,NA,NA,I,2016,w,grau/weiss,2016-04-10
88267,51-60,w,7,72,Mittelpudel,NA,NA,NA,K,2016,w,schwarz,2016-01-10
88455,41-50,w,7,74,Welsh Terrier,NA,NA,NA,K,2016,w,rot/schwarz,2016-07-10
88564,41-50,m,5,51,Labrador Retriever,NA,NA,NA,I,2016,w,schwarz,2016-06-10
88652,71-80,m,12,121,Phalène,NA,NA,NA,K,2016,m,tricolor,2016-12-10
88660,61-70,w,9,92,Golden Retriever,NA,Labrador Retriever,NA,I,2016,w,schwarz,2016-05-10
88677,61-70,w,11,119,Französische Bulldogge,NA,NA,NA,K,2016,m,schwarz gestromt,2016-12-10
88852,61-70,w,3,31,Zwergschnauzer,NA,NA,NA,K,2016,w,pfeffer/salz,2016-04-10
89008,51-60,m,10,101,Zwergpinscher,NA,NA,NA,K,2016,w,schwarz/rot,2016-01-10
89212,41-50,w,11,115,Tibet Terrier,NA,NA,NA,K,2016,w,hellbraun,2016-02-10
89293,41-50,m,11,115,Shih Tzu,NA,NA,NA,K,2016,w,schwarz,2016-09-10
89462,51-60,w,7,72,Rhodesian Ridgeback,NA,NA,NA,I,2016,w,braun,2016-05-10
89489,31-40,w,3,34,Border Collie,NA,NA,NA,I,2016,m,tricolor,2016-07-10
89546,31-40,w,7,72,Whippet,NA,NA,NA,I,2016,m,rot,2016-10-10
89703,51-60,m,8,81,Mischling gross,NA,NA,NA,I,2016,w,beige/braun,2016-10-10
