owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color,dog_dob
126,61-70,m,9,92,Welsh Terrier,NA,NA,NA,K,2011,w,schwarz/braun,2011-08-10
1177,51-60,m,10,102,Shih Tzu,NA,NA,NA,K,2011,m,schwarz/weiss,2011-07-10
4281,61-70,w,9,91,Chihuahua,NA,NA,NA,K,2011,w,hellbraun,2011-02-10
4880,51-60,m,5,52,Leonberger,NA,NA,NA,I,2011,m,goldbraun,2011-06-10
5227,71-80,m,10,101,Border Terrier,NA,NA,NA,K,2011,w,tricolor,2011-09-10
6321,51-60,w,8,81,Mops,NA,NA,NA,K,2011,m,beige,2011-04-10
6469,41-50,m,11,111,Mops,NA,NA,NA,K,2011,m,beige,2011-10-10
6640,51-60,m,8,82,Englische Bulldogge,NA,NA,NA,I,2011,m,braun/weiss,2011-07-10
18020,51-60,m,5,52,Labrador Retriever,NA,NA,NA,I,2011,w,schwarz,2011-12-10
21002,61-70,m,7,71,Mischling gross,NA,NA,NA,I,2011,m,creme,2011-05-10
23054,61-70,w,10,101,Cairn Terrier,NA,NA,NA,K,2011,m,rot/beige,2011-01-10
23408,31-40,m,12,122,Yorkshire Terrier,NA,NA,NA,K,2011,w,black/tan,2011-01-10
65681,51-60,m,2,21,Italienisches Windspiel,NA,NA,NA,K,2011,m,blau,2011-01-10
66515,61-70,m,8,83,Labrador Retriever,NA,NA,NA,I,2011,w,braun,2011-05-10
80021,41-50,w,11,111,Labrador Retriever,NA,NA,NA,I,2011,w,schwarz,2011-09-10
80068,51-60,m,9,91,Bayerischer Gebirgsschweisshund,NA,NA,NA,I,2011,m,hirschrot mit Maske,2011-01-10
80223,41-50,m,11,111,Dachshund,Mischling,NA,NA,K,2011,w,hellbraun,2011-07-10
80509,71-80,w,2,24,Boxer,NA,NA,NA,I,2011,w,gelb,2011-09-10
80513,51-60,w,3,33,Parson Jack Russell Terrier,NA,NA,NA,K,2011,w,tricolor,2011-02-10
80525,71-80,m,7,72,Zwergpudel,NA,NA,NA,K,2011,m,schwarz,2011-07-10
80538,61-70,w,2,24,English Cocker Spaniel,NA,NA,NA,K,2011,m,schwarz/weiss,2011-05-10
80602,71-80,w,12,122,Bolonka Zwetna,NA,NA,NA,K,2011,m,weiss,2011-12-10
80753,71-80,m,9,92,Mischling klein,NA,NA,NA,K,2011,w,braun,2011-04-10
80761,71-80,m,11,115,Appenzeller Sennenhund,NA,NA,NA,I,2011,w,tricolor,2011-09-10
80888,61-70,w,7,72,Deutscher Boxer,NA,NA,NA,I,2011,w,hirschrot,2011-01-10
80897,41-50,w,7,71,Lagotto Romagnolo,NA,NA,NA,I,2011,w,braun,2011-04-10
80940,61-70,w,7,71,Mischling klein,NA,NA,NA,K,2011,w,schwarz/braun,2011-02-10
81042,41-50,w,2,21,Dackel,NA,Foxterrier,NA,K,2011,m,braun/weiss,2011-01-10
81054,51-60,w,1,11,Mops,NA,NA,NA,K,2011,m,schwarz,2011-11-10
81100,61-70,w,7,73,Mischling klein,NA,NA,NA,K,2011,w,rot/braun,2011-05-10
81107,71-80,w,7,74,Deutscher Schäfer,NA,NA,NA,I,2011,m,schwarz/gelb,2011-06-10
81183,51-60,m,9,92,Deutscher Schäfer,NA,NA,NA,I,2011,w,schwarz/gelb,2011-01-10
81188,51-60,m,10,101,Jack Russel Terrier,NA,NA,NA,K,2011,w,braun/weiss,2011-06-10
81248,71-80,m,10,101,Deutscher Schäfer,NA,NA,NA,I,2011,m,schwarz/braun,2011-07-10
81352,71-80,w,7,71,Windspiel,NA,NA,NA,I,2011,m,steelblue,2011-01-10
81352,71-80,w,7,71,Italienisches Windspiel,NA,NA,NA,K,2011,w,schwarz/weiss,2011-05-10
81459,81-90,w,6,61,Cairn Terrier,NA,NA,NA,K,2011,m,braun,2011-11-10
81469,61-70,w,6,63,Jack Russel Terrier,NA,NA,NA,K,2011,m,weiss/braun,2011-02-10
81514,71-80,m,6,63,Podenco,NA,NA,NA,I,2011,w,rehbraun,2011-11-10
81531,71-80,w,3,34,Bolonka Zwetna,NA,NA,NA,K,2011,w,braun/weiss/schwarz,2011-09-10
81683,71-80,w,10,101,Chinese Crested Powderpuff,NA,NA,NA,K,2011,m,schwarz/weiss,2011-06-10
81702,51-60,w,11,119,Collie,NA,NA,NA,I,2011,w,tricolor,2011-08-10
81702,51-60,w,11,119,Collie,NA,NA,NA,I,2011,w,tricolor,2011-03-10
82064,61-70,m,3,31,Labrador Retriever,NA,NA,NA,I,2011,m,schwarz,2011-11-10
82167,61-70,w,9,92,Pudel,NA,NA,NA,K,2011,w,apricot,2011-12-10
82473,51-60,w,1,13,Papillon,NA,NA,NA,K,2011,m,tricolor,2011-03-10
82508,61-70,w,8,81,Beagle,NA,NA,NA,K,2011,m,tricolor,2011-04-10
82527,71-80,w,2,21,Rauhaar Dackel,NA,NA,NA,K,2011,w,saufarben,2011-12-10
82655,61-70,w,7,74,Mischling klein,NA,NA,NA,K,2011,m,schwarz/braun,2011-01-10
82668,71-80,w,5,52,Norwich Terrier,NA,NA,NA,K,2011,w,rot,2011-03-10
82865,51-60,w,10,102,Yorkshire Terrier,NA,NA,NA,K,2011,w,black/tan,2011-07-10
82878,61-70,m,7,71,Zwergschnauzer,NA,NA,NA,K,2011,m,weiss,2011-04-10
82925,71-80,m,3,34,Deutscher Schäfer,NA,NA,NA,I,2011,w,grau,2011-03-10
82973,71-80,w,7,74,Yorkshire Terrier,NA,NA,NA,K,2011,w,grau/braun,2011-05-10
83322,51-60,m,4,44,Chihuahua,NA,NA,NA,K,2011,m,schwarz,2011-02-10
83339,61-70,w,9,91,Bolonka Zwetna,NA,Tibet Terrier,NA,K,2011,w,schwarz,2011-07-10
83373,51-60,w,9,91,Yorkshire Terrier,NA,NA,NA,K,2011,m,schwarz/braun,2011-11-10
83497,41-50,w,3,33,Bobtail,NA,NA,NA,I,2011,m,blau/grau/weiss,2011-12-10
83620,51-60,m,7,73,Mischling klein,NA,NA,NA,K,2011,m,weiss/braun,2011-11-10
83671,71-80,w,7,71,Labrador Retriever,NA,NA,NA,I,2011,m,schwarz,2011-05-10
83733,41-50,m,5,52,Sibirischer Husky,NA,NA,NA,I,2011,m,grau/weiss,2011-01-10
83785,51-60,m,6,61,Rottweiler,NA,NA,NA,I,2011,m,schwarz/braun,2011-02-10
83934,71-80,w,9,91,Beagle,NA,Mops,NA,K,2011,m,hellbraun,2011-07-10
83947,51-60,w,9,92,Airedale Terrier,NA,NA,NA,I,2011,m,black/tan,2011-06-10
84269,41-50,w,3,33,English Setter,NA,NA,NA,I,2011,m,weiss/beige,2011-01-10
84294,61-70,w,2,21,Mischling klein,NA,NA,NA,K,2011,w,tricolor,2011-06-10
84308,71-80,w,10,101,Mischling klein,NA,NA,NA,K,2011,w,schwarz/braun/weiss,2011-08-10
84527,61-70,w,7,72,Jack Russel Terrier,NA,NA,NA,K,2011,w,tricolor,2011-12-10
84804,51-60,w,9,92,Pudel,NA,NA,NA,K,2011,w,schwarz/weiss,2011-05-10
84915,71-80,w,2,24,Golden Retriever,NA,Labrador Retriever,NA,I,2011,m,blondfarben,2011-01-10
85110,61-70,m,11,111,Golden Retriever,NA,NA,NA,I,2011,m,golden,2011-09-10
85137,61-70,w,2,23,Mischling gross,NA,NA,NA,I,2011,w,braun/schwarz,2011-02-10
85389,61-70,m,9,92,Deutscher Schäfer,NA,NA,NA,I,2011,m,schwarz,2011-09-10
85411,71-80,m,6,63,Tervueren,NA,NA,NA,I,2011,m,braun/weiss/schwarz,2011-01-10
85479,71-80,w,6,61,Mischling gross,NA,NA,NA,I,2011,w,schwarz/weiss,2011-09-10
85546,61-70,w,7,74,Flat Coated Retriever,NA,NA,NA,I,2011,w,braun,2011-06-10
85581,51-60,w,4,42,Labrador Retriever,NA,NA,NA,I,2011,m,schwarz,2011-08-10
85640,71-80,m,9,91,Labrador Retriever,NA,Schweizer Sennenhund,NA,I,2011,w,tricolor,2011-06-10
85643,61-70,w,11,119,Bolonka Zwetna,NA,NA,NA,K,2011,w,schwarz/weiss,2011-04-10
85657,71-80,w,11,119,Mischling klein,NA,NA,NA,K,2011,w,grau/weiss,2011-03-10
85874,81-90,w,7,71,Labrador Retriever,NA,NA,NA,I,2011,w,gelb,2011-10-10
85909,51-60,w,3,33,Terrier,Mischling,NA,NA,K,2011,w,hellbraun/weiss,2011-12-10
85938,51-60,w,11,111,Mops,NA,NA,NA,K,2011,m,beige,2011-06-10
86022,51-60,w,2,21,Mischling klein,NA,NA,NA,K,2011,m,braun,2011-09-10
86023,51-60,m,7,71,Schäfer,Mischling,NA,NA,I,2011,m,tricolor,2011-02-10
86028,71-80,m,4,44,Shih Tzu,NA,NA,NA,K,2011,m,schwarz/weiss,2011-07-10
86086,61-70,w,7,71,Gordon Setter,NA,NA,NA,I,2011,w,black/tan,2011-02-10
86137,41-50,m,9,92,Jack Russel Terrier,NA,NA,NA,K,2011,w,weiss/schwarz,2011-01-10
86206,71-80,w,12,122,Bernhardiner,Mischling,NA,NA,I,2011,m,braun/weiss,2011-12-10
86262,51-60,w,7,71,Labrador Retriever,NA,NA,NA,I,2011,w,grau,2011-06-10
86329,51-60,w,9,92,Beagle,Mischling,NA,NA,K,2011,w,weiss/braun,2011-11-10
86500,61-70,w,7,74,Cavalier King Charles Spaniel,NA,NA,NA,K,2011,m,braun,2011-04-10
86727,51-60,w,12,122,Bolonka Zwetna,NA,Malteser,NA,K,2011,w,weiss,2011-05-10
86730,51-60,w,9,92,Border Terrier,NA,NA,NA,K,2011,m,grizzle,2011-04-10
86763,51-60,m,11,119,Jack Russel Terrier,NA,NA,NA,K,2011,m,rot/weiss,2011-01-10
