question,value,n,pct,text
q2,рчбд,16,47.10%,овгш
q2,жлш,18,52.90%,овгш
q4,щлйш,18,52.90%,ътсечд
q4,тцоай,3,8.80%,ътсечд
q4,сиегри,8,23.50%,ътсечд
q4,"сиегри, щлйш",3,8.80%,ътсечд
q4,"сиегри, оебим",1,2.90%,ътсечд
q4,оебим,1,2.90%,ътсечд
q37,ма,6,17.60%,дан ъслйн мдщъъу бозчш дощк?
q37,лп,25,73.50%,дан ъслйн мдщъъу бозчш дощк?
q37,NA,3,8.80%,дан ъслйн мдщъъу бозчш дощк?
