owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color,dog_dob
893,61-70,w,7,71,Mittelschnauzer,NA,NA,NA,I,2010,w,schwarz,2010-12-10
4004,61-70,w,3,34,Dackel,NA,NA,NA,K,2010,m,braun,2010-01-10
5113,61-70,m,11,119,Beagle,NA,NA,NA,K,2010,w,tricolor,2010-08-10
6629,51-60,w,4,41,Chihuahua,NA,NA,NA,K,2010,w,beige,2010-02-10
6629,51-60,w,4,41,Chihuahua,NA,NA,NA,K,2010,m,black/tan,2010-12-10
15456,41-50,m,2,21,Chihuahua,NA,NA,NA,K,2010,m,schwarz,2010-03-10
18360,41-50,w,3,31,Husky,NA,NA,NA,I,2010,w,weiss,2010-07-10
22378,51-60,m,7,72,Kooiker,NA,NA,NA,K,2010,w,weiss/orange,2010-03-10
61323,71-80,m,8,81,Mudi,NA,NA,NA,I,2010,m,blondfarben,2010-05-10
65940,41-50,w,8,81,Berner Sennenhund,NA,NA,NA,I,2010,w,tricolor,2010-10-10
66298,41-50,m,6,63,Magyar Viszla,NA,NA,NA,I,2010,m,gelb,2010-01-10
66898,41-50,m,7,73,Coton de Tulear,NA,NA,NA,K,2010,m,weiss,2010-11-10
67135,31-40,m,6,61,Jack Russel Terrier,NA,NA,NA,K,2010,w,tricolor,2010-07-10
67220,61-70,m,6,61,Mischling klein,NA,NA,NA,K,2010,m,braun,2010-01-10
70296,51-60,w,7,74,Mischling klein,NA,NA,NA,K,2010,w,weiss/beige,2010-09-10
71119,51-60,w,11,115,Chihuahua,NA,Prager Rattler,NA,K,2010,m,black/tan,2010-01-10
71119,51-60,w,11,115,Prager Rattler,NA,Chihuahua,NA,K,2010,w,black/tan,2010-05-10
71761,41-50,m,9,92,Jack Russel Terrier,NA,NA,NA,K,2010,m,tricolor,2010-03-10
80023,71-80,m,11,111,Border Collie,NA,NA,NA,I,2010,m,tricolor,2010-02-10
80185,41-50,m,10,102,Labrador Retriever,NA,NA,NA,I,2010,w,blondfarben,2010-05-10
80226,71-80,w,6,61,Labrador Retriever,NA,NA,NA,I,2010,m,braun,2010-01-10
80319,41-50,w,10,102,Dackel,Mischling,NA,NA,K,2010,w,tricolor,2010-02-10
80500,51-60,m,11,111,Boxer,NA,NA,NA,I,2010,w,goldbraun,2010-03-10
80545,51-60,m,9,91,Border Terrier,NA,NA,NA,K,2010,w,red grizzle,2010-06-10
80645,81-90,w,2,21,Berner Sennenhund,NA,NA,NA,I,2010,w,schwarz/braun/weiss,2010-02-10
80647,61-70,m,11,111,Golden Retriever,NA,NA,NA,I,2010,m,blondfarben,2010-12-10
