owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color,dog_dob
12409,61-70,m,9,91,Mischling klein,NA,NA,NA,K,2008,w,weiss/schwarz/braun,2008-01-10
18805,41-50,w,6,63,Jack Russel Terrier,NA,NA,NA,K,2008,m,tricolor,2008-05-10
20268,31-40,w,5,52,Chihuahua,NA,NA,NA,K,2008,m,weiss/grau,2008-02-10
66151,51-60,m,11,115,Deutscher Schäfer,NA,NA,NA,I,2008,w,schwarz/braun/weiss,2008-12-10
66702,61-70,w,6,61,Zwergpudel,NA,NA,NA,K,2008,w,apricot,2008-06-10
71142,51-60,w,7,71,Canaan Dog,NA,NA,NA,I,2008,m,schwarz,2008-04-10
80162,51-60,m,12,123,Parson Jack Russell Terrier,NA,NA,NA,K,2008,m,weiss/rot,2008-09-10
80162,51-60,m,12,123,Bouvier,NA,NA,NA,I,2008,w,schwarz,2008-02-10
80172,61-70,m,9,91,Labrador Retriever,NA,NA,NA,I,2008,m,schwarz,2008-01-10
80335,61-70,w,12,122,Irish Setter,NA,Golden Retriever,NA,I,2008,m,braun,2008-01-10
80335,61-70,w,12,122,Irish Setter,NA,Golden Retriever,NA,I,2008,m,braun,2008-01-10
80382,51-60,w,10,102,Dachshund,NA,NA,NA,K,2008,m,braun,2008-10-10
80406,61-70,m,11,111,Labrador Retriever,NA,NA,NA,I,2008,w,schwarz,2008-02-10
80416,51-60,w,9,91,Labrador Retriever,NA,NA,NA,I,2008,m,schwarz,2008-01-10
80575,81-90,w,4,42,Mischling klein,NA,NA,NA,K,2008,w,weiss/beige,2008-09-10
80656,71-80,m,10,101,Pointer,NA,NA,NA,I,2008,w,weiss,2008-01-10
80761,71-80,m,11,115,Appenzeller Sennenhund,NA,NA,NA,I,2008,m,tricolor,2008-03-10
80881,71-80,w,7,72,Mops,NA,NA,NA,K,2008,w,beige,2008-02-10
81042,41-50,w,2,21,Mischling klein,NA,NA,NA,K,2008,w,tricolor,2008-01-10
81072,51-60,w,7,71,Mischling klein,NA,NA,NA,K,2008,w,braun/weiss,2008-09-10
81159,71-80,m,9,92,Airedale Terrier,NA,NA,NA,I,2008,w,schwarz/beige,2008-12-10
81322,71-80,w,6,63,Galgo Español,NA,NA,NA,I,2008,w,gestromt,2008-08-10
81325,71-80,w,12,122,Sheltie,NA,NA,NA,K,2008,w,blue/merle,2008-09-10
81353,81-90,w,6,63,Rottweiler,Mischling,NA,NA,I,2008,m,schwarz/braun,2008-06-10
81399,81-90,w,11,119,Yorkshire Terrier,NA,NA,NA,K,2008,w,silber/braun,2008-05-10
81437,71-80,w,7,74,Dackel,Mischling,NA,NA,K,2008,w,braun/weiss,2008-09-10
81458,71-80,w,6,63,Berner Sennenhund,NA,NA,NA,I,2008,m,schwarz/braun/weiss,2008-06-10
