owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color,dog_dob
4155,61-70,w,9,92,Zwergdackel,NA,NA,NA,K,2002,m,schwarz/grau,2002-06-10
20483,61-70,m,12,121,Terrier,Mischling,NA,NA,K,2002,m,black/tan,2002-12-10
54926,81-90,m,2,21,Jack Russel Terrier,NA,NA,NA,K,2002,m,tricolor,2002-09-10
65665,61-70,w,8,82,Mops,NA,NA,NA,K,2002,m,beige,2002-12-10
65665,61-70,w,8,82,Mops,NA,NA,NA,K,2002,m,schwarz,2002-07-10
65758,51-60,w,7,71,Welsh Springer Spaniel,NA,NA,NA,I,2002,w,rot/weiss,2002-06-10
65975,61-70,w,7,74,Labrador Retriever,NA,NA,NA,I,2002,w,braun,2002-11-10
71915,71-80,w,1,13,Mischling klein,NA,NA,NA,K,2002,m,grau,2002-02-10
80099,71-80,m,12,123,Pinscher,NA,NA,NA,K,2002,m,rot,2002-04-10
80553,81-90,w,2,21,Jack Russel Terrier,NA,NA,NA,K,2002,m,weiss/schwarz,2002-11-10
80622,61-70,m,6,61,Parson Russell Terrier,NA,NA,NA,K,2002,w,weiss/braun,2002-10-10
80849,61-70,m,11,119,Labrador Retriever,NA,Border Collie,NA,I,2002,w,schwarz/weiss,2002-10-10
81096,81-90,w,7,71,Dackel,NA,NA,NA,K,2002,m,rot,2002-07-10
81200,81-90,m,10,101,Toypudel,NA,NA,NA,K,2002,w,schwarz,2002-10-10
81343,31-40,w,11,111,Papillon,NA,NA,NA,K,2002,w,schwarz/braun/weiss,2002-12-10
81407,71-80,m,6,63,Spinone,NA,NA,NA,I,2002,w,weiss,2002-11-10
81458,71-80,w,6,63,Border Terrier,NA,NA,NA,K,2002,w,red grizzle,2002-04-10
81621,61-70,w,2,21,West Highland White Terrier,NA,NA,NA,K,2002,w,weiss,2002-01-10
81775,71-80,w,11,119,Zwergpudel,NA,NA,NA,K,2002,m,apricot,2002-05-10
81870,61-70,w,7,74,Mischling klein,NA,NA,NA,K,2002,w,schwarz/weiss,2002-06-10
82063,71-80,w,11,111,Mops,NA,NA,NA,K,2002,m,beige,2002-05-10
82323,61-70,w,9,91,Jack Russel Terrier,NA,NA,NA,K,2002,m,braun/weiss,2002-09-10
82360,51-60,m,11,111,Rehpinscher,NA,NA,NA,K,2002,w,braun,2002-01-10
82572,71-80,w,7,74,Rauhaar Dackel,NA,NA,NA,K,2002,m,saufarben,2002-11-10
82692,81-90,w,7,74,Pudel,NA,NA,NA,K,2002,w,schwarz,2002-03-10
82928,51-60,w,5,51,Pudel,NA,NA,NA,K,2002,m,weiss,2002-02-10
83073,81-90,w,12,122,West Highland White Terrier,NA,NA,NA,K,2002,w,weiss,2002-01-10
83347,71-80,w,3,34,Yorkshire Terrier,NA,NA,NA,K,2002,w,grau/schwarz,2002-01-10
83539,51-60,w,7,71,Papillon,NA,NA,NA,K,2002,w,braun/weiss,2002-03-10
83633,51-60,w,9,91,Mischling klein,NA,NA,NA,K,2002,m,weiss/beige,2002-09-10
83757,51-60,w,3,31,Lhasa Apso,Mischling,NA,NA,K,2002,m,beige,2002-10-10
83905,51-60,m,6,61,Schäfer,Mischling,NA,NA,I,2002,w,schwarz,2002-03-10
84012,61-70,w,7,74,Mischling klein,NA,NA,NA,K,2002,w,beige/weiss,2002-01-10
84066,81-90,w,3,33,Papillon,Mischling,NA,NA,K,2002,m,schwarz/weiss,2002-12-10
84224,51-60,w,12,122,Jack Russel Terrier,NA,NA,NA,K,2002,w,tricolor,2002-04-10
84811,61-70,m,2,21,Schäfer,Mischling,NA,NA,I,2002,m,schwarz/braun,2002-11-10
85073,51-60,w,12,123,Jack Russel Terrier,NA,NA,NA,K,2002,m,tricolor,2002-10-10
85073,51-60,w,12,123,Jack Russel Terrier,NA,NA,NA,K,2002,m,tricolor,2002-11-10
85348,71-80,w,3,31,Mischling klein,NA,NA,NA,K,2002,m,hellbraun,2002-01-10
85372,71-80,w,8,81,Cairn Terrier,NA,NA,NA,K,2002,m,grau/schwarz,2002-11-10
86063,61-70,w,5,51,Schäfer,NA,Appenzeller,NA,I,2002,w,schwarz/braun,2002-10-10
86110,51-60,m,7,73,Cairn Terrier,NA,NA,NA,K,2002,m,braun,2002-06-10
