owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color,dog_dob
695,41-50,m,6,63,Labrador Retriever,NA,NA,NA,I,2012,w,braun,2012-02-10
4050,41-50,w,11,111,Bichon frisé,NA,NA,NA,K,2012,m,weiss,2012-01-10
4261,71-80,w,7,71,Labrador Retriever,NA,NA,NA,I,2012,w,beige,2012-03-10
6071,61-70,m,3,34,Pointer,NA,NA,NA,I,2012,w,schwarz/braun,2012-05-10
6617,61-70,w,12,122,Grosspudel,NA,NA,NA,I,2012,w,weiss,2012-03-10
19141,61-70,m,4,42,Bolonka Zwetna,NA,NA,NA,K,2012,m,schwarz,2012-04-10
20762,51-60,m,4,42,Zwergpudel,NA,NA,NA,K,2012,m,apricot,2012-01-10
21270,41-50,m,8,81,Grosspudel,NA,NA,NA,I,2012,m,braun,2012-06-10
21393,51-60,m,2,24,Französische Bulldogge,NA,NA,NA,K,2012,m,blue,2012-04-10
23590,61-70,w,9,92,Pinscher,NA,Yorkshire Terrier,NA,K,2012,w,schwarz,2012-06-10
23889,61-70,w,4,42,Pudel,NA,NA,NA,K,2012,m,braun,2012-04-10
63704,71-80,m,10,101,Dachshund,NA,NA,NA,K,2012,w,saufarben,2012-08-10
66757,51-60,w,1,14,Mischling gross,NA,NA,NA,I,2012,m,braun/beige,2012-04-10
66913,51-60,m,8,83,Hovawart,NA,NA,NA,I,2012,w,schwarz,2012-03-10
67018,71-80,w,6,61,Labrador Retriever,NA,NA,NA,I,2012,m,beige,2012-02-10
67308,41-50,w,11,111,Shih Tzu,NA,NA,NA,K,2012,w,braun/weiss,2012-06-10
70176,41-50,w,4,44,Mischling gross,NA,NA,NA,I,2012,w,weiss,2012-11-10
70793,71-80,m,11,115,Soft Coated Wheaten Terrier,NA,NA,NA,I,2012,m,beige,2012-07-10
71024,61-70,w,7,74,Lagotto Romagnolo,NA,NA,NA,I,2012,w,bianco-aranico,2012-01-10
71670,61-70,m,7,71,Deutscher Schäfer,NA,NA,NA,I,2012,w,braun,2012-11-10
71757,41-50,m,4,42,Bouvier,NA,NA,NA,I,2012,m,gestromt,2012-08-10
71893,41-50,w,6,63,Border Collie,NA,NA,NA,I,2012,w,tricolor,2012-09-10
80407,71-80,m,7,72,Labrador Retriever,NA,NA,NA,I,2012,w,schwarz,2012-12-10
80410,51-60,w,7,73,Labrador Retriever,NA,NA,NA,I,2012,w,schwarz,2012-07-10
80412,51-60,m,2,21,Labrador Retriever,NA,NA,NA,I,2012,m,schwarz,2012-01-10
80604,71-80,m,7,72,Labrador Retriever,NA,NA,NA,I,2012,w,schwarz,2012-01-10
80659,51-60,w,3,33,English Springer Spaniel,NA,NA,NA,I,2012,m,schwarz/weiss,2012-05-10
80713,61-70,m,11,111,Dackel,NA,NA,NA,K,2012,w,rot,2012-02-10
80755,61-70,w,9,91,West Highland White Terrier,NA,NA,NA,K,2012,w,weiss,2012-10-10
80767,61-70,w,9,92,Beagle,NA,NA,NA,K,2012,m,tricolor,2012-12-10
80840,51-60,w,10,101,Dalmatiner,Mischling,NA,NA,I,2012,m,schwarz/weiss,2012-06-10
80957,51-60,w,7,74,Riesenschnauzer,NA,NA,NA,I,2012,w,schwarz,2012-01-10
