owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color,dog_dob
4215,41-50,w,8,81,Bergamasker,Mischling,NA,NA,I,2004,w,schwarz,2004-10-10
6600,51-60,m,6,63,Mischling klein,NA,NA,NA,K,2004,m,braun,2004-08-10
14362,61-70,m,7,72,Zwergdachshund,NA,NA,NA,K,2004,w,saufarben,2004-06-10
40684,71-80,m,7,74,Labrador Retriever,NA,NA,NA,I,2004,m,blondfarben,2004-08-10
60402,61-70,w,11,111,Border Terrier,NA,NA,NA,K,2004,m,rot/grau/schwarz,2004-01-10
62621,71-80,m,11,111,Papillon,NA,NA,NA,K,2004,w,schwarz/weiss,2004-04-10
64718,51-60,m,11,115,Mischling klein,NA,NA,NA,K,2004,w,weiss/braun,2004-09-10
66913,51-60,m,8,83,Hovawart,NA,NA,NA,I,2004,w,blondfarben,2004-08-10
67180,51-60,w,1,11,English Cocker Spaniel,NA,NA,NA,K,2004,w,blauschimmel,2004-01-10
80011,41-50,w,12,123,Malteser,Mischling,NA,NA,K,2004,m,weiss,2004-04-10
80017,61-70,m,6,61,Spanischer Wasserhund,NA,NA,NA,I,2004,w,braun/weiss,2004-08-10
80096,51-60,w,11,111,Malteser,NA,NA,NA,K,2004,m,weiss,2004-05-10
80330,71-80,w,12,123,Husky,NA,Appenzeller,NA,I,2004,w,braun/weiss,2004-07-10
80552,51-60,w,10,101,Windspiel,NA,NA,NA,I,2004,w,beige/weiss,2004-10-10
80604,71-80,m,7,72,Labrador Retriever,NA,NA,NA,I,2004,w,schwarz,2004-07-10
80607,81-90,w,10,101,West Highland White Terrier,NA,NA,NA,K,2004,w,weiss,2004-05-10
80608,81-90,w,2,24,Deutscher Schäfer,NA,NA,NA,I,2004,w,schwarz/gelb,2004-06-10
80719,61-70,w,11,111,Jack Russel Terrier,NA,NA,NA,K,2004,m,weiss/schwarz/braun,2004-07-10
80890,61-70,m,7,73,Pinscher,Mischling,NA,NA,K,2004,w,tricolor,2004-05-10
81054,51-60,w,1,11,Labrador Retriever,NA,Golden Retriever,NA,I,2004,m,gold/sable,2004-08-10
81091,61-70,w,7,71,Labrador Retriever,NA,NA,NA,I,2004,m,braun,2004-02-10
81195,61-70,w,10,102,Beagle,NA,NA,NA,K,2004,m,tricolor,2004-04-10
81202,81-90,m,9,91,Toypudel,NA,NA,NA,K,2004,w,silber,2004-11-10
81254,51-60,w,9,92,Tibet Terrier,NA,NA,NA,K,2004,m,weiss/schwarz,2004-01-10
81397,51-60,w,8,83,Bobtail,NA,Bergamasker,NA,I,2004,w,grau,2004-01-10
81441,71-80,w,8,81,Mischling klein,NA,NA,NA,K,2004,m,weiss,2004-07-10
81468,71-80,w,5,51,Yorkshire Terrier,NA,West Highland White Terrier,NA,K,2004,m,schwarz/braun/weiss,2004-09-10
81482,71-80,m,12,122,Katalanischer Hirtenhund,NA,NA,NA,I,2004,w,braun schwarz gestromt,2004-07-10
81507,61-70,w,6,63,Mittelpudel,NA,NA,NA,K,2004,m,schwarz,2004-06-10
81531,71-80,w,3,34,Mischling klein,NA,NA,NA,K,2004,w,rot/schwarz,2004-12-10
81557,71-80,w,2,24,Labrador Retriever,Mischling,NA,NA,I,2004,w,schwarz,2004-01-10
81674,81-90,w,10,101,Pekingese,Mischling,NA,NA,K,2004,m,schwarz/braun,2004-07-10
81764,81-90,w,12,122,Coton de Tulear,NA,NA,NA,K,2004,m,weiss,2004-07-10
82011,71-80,m,7,74,Bergamasker,NA,NA,NA,I,2004,w,grau meliert,2004-02-10
82284,81-90,w,2,24,Zwergpudel,NA,NA,NA,K,2004,m,braun/weiss,2004-01-10
82369,61-70,m,2,24,Mischling klein,NA,NA,NA,K,2004,w,schwarz/braun,2004-05-10
82435,71-80,w,7,73,Jack Russel Terrier,NA,NA,NA,K,2004,w,weiss/beige,2004-01-10
82439,81-90,m,7,74,Mischling gross,NA,NA,NA,I,2004,m,braun,2004-01-10
82474,71-80,w,3,31,Kromfohrländer,NA,NA,NA,I,2004,w,weiss/braun,2004-09-10
82538,61-70,w,7,71,Dachshund,NA,NA,NA,K,2004,m,braun,2004-07-10
