owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color,dog_dob
4726,51-60,m,5,52,Mischling klein,NA,NA,NA,K,2007,m,schwarz,2007-07-10
5225,61-70,m,3,34,Lagotto Romagnolo,NA,NA,NA,I,2007,m,braun,2007-03-10
14693,41-50,m,11,111,Chihuahua,NA,NA,NA,K,2007,w,weiss/grau,2007-11-10
19652,51-60,w,2,24,Mischling klein,NA,NA,NA,K,2007,w,braun,2007-11-10
20268,31-40,w,5,52,Parson Russell Terrier,NA,NA,NA,K,2007,m,tricolor,2007-09-10
24014,51-60,w,12,123,Yorkshire Terrier,NA,NA,NA,K,2007,w,blue/tan,2007-11-10
62628,61-70,m,7,72,Yorkshire Terrier,NA,NA,NA,K,2007,w,graubraun,2007-10-10
64444,61-70,m,7,71,Mischling klein,NA,NA,NA,K,2007,w,rot/weiss,2007-03-10
65758,51-60,w,7,71,Yorkshire Terrier,NA,NA,NA,K,2007,m,black/tan,2007-04-10
66515,61-70,m,8,83,Labrador Retriever,NA,NA,NA,I,2007,w,braun,2007-01-10
72136,61-70,m,7,72,Labrador Retriever,NA,NA,NA,I,2007,m,choco,2007-07-10
80059,71-80,w,12,123,Französische Bulldogge,NA,NA,NA,K,2007,w,weiss,2007-01-10
80143,81-90,w,9,92,Yorkshire Terrier,NA,NA,NA,K,2007,w,schwarz/braun,2007-08-10
80169,41-50,w,4,42,Jack Russel Terrier,Mischling,NA,NA,K,2007,w,tricolor,2007-01-10
80201,51-60,m,3,31,Mischling klein,NA,NA,NA,K,2007,w,schwarz,2007-11-10
80217,51-60,w,3,33,Foxterrier,NA,NA,NA,K,2007,w,braun/weiss,2007-12-10
80272,51-60,m,9,91,Terrier,Mischling,NA,NA,K,2007,m,black/tan,2007-08-10
80380,71-80,m,2,23,Mischling klein,NA,NA,NA,K,2007,w,tricolor,2007-04-10
80536,71-80,m,2,21,Schweizer Niederlaufhund,NA,NA,NA,K,2007,m,weiss/orange,2007-01-10
80700,51-60,w,2,21,Mischling klein,NA,NA,NA,K,2007,w,braun/weiss,2007-03-10
80715,61-70,m,6,61,Mischling klein,NA,NA,NA,K,2007,m,rehbraun,2007-12-10
80960,71-80,w,7,72,Mops,NA,NA,NA,K,2007,m,schwarz,2007-06-10
81316,71-80,w,11,119,Yorkshire Terrier,NA,NA,NA,K,2007,m,blue/tan,2007-11-10
81323,81-90,m,6,63,Alpenländische Dachsbracke,NA,NA,NA,K,2007,m,hirschrot,2007-03-10
81424,71-80,w,6,63,Jack Russel Terrier,Mischling,NA,NA,K,2007,w,schwarz/braun,2007-08-10
81438,81-90,m,7,71,Labrador Retriever,NA,NA,NA,I,2007,m,schwarz,2007-12-10
81448,71-80,w,4,41,Rauhaar Dackel,NA,NA,NA,K,2007,w,saufarben,2007-01-10
81573,71-80,w,3,31,Jack Russel Terrier,NA,NA,NA,K,2007,m,weiss/schwarz,2007-05-10
81689,51-60,w,10,101,Portugiesischer Wasserhund,NA,NA,NA,I,2007,w,schwarz,2007-04-10
81726,61-70,w,11,111,Mischling klein,NA,NA,NA,K,2007,m,gestromt,2007-05-10
81726,61-70,w,11,111,Mischling klein,NA,NA,NA,K,2007,w,hellbraun/weiss,2007-04-10
81731,61-70,m,12,121,Mischling klein,NA,NA,NA,K,2007,w,schwarz/weiss,2007-08-10
