owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color,dog_dob
4215,41-50,w,8,81,Border Collie,Mischling,NA,NA,I,2001,m,schwarz,2001-11-10
22479,51-60,m,7,72,Mischling klein,NA,NA,NA,K,2001,w,grau gestromt,2001-09-10
67125,51-60,m,7,74,Golden Retriever,NA,NA,NA,I,2001,m,golden,2001-12-10
80011,41-50,w,12,123,Papillon,Mischling,NA,NA,K,2001,w,schwarz,2001-06-10
80317,81-90,w,7,74,Windspiel,NA,NA,NA,I,2001,w,blue,2001-09-10
80758,81-90,w,2,24,Labrador Retriever,NA,NA,NA,I,2001,w,schwarz,2001-11-10
80986,71-80,w,11,111,Border Collie,Mischling,NA,NA,I,2001,w,schwarz/braun/weiss,2001-08-10
81234,81-90,m,9,92,Terrier,Mischling,NA,NA,K,2001,m,schwarz/weiss,2001-09-10
81781,61-70,w,12,122,Mischling klein,NA,NA,NA,K,2001,w,weiss,2001-04-10
81856,31-40,m,11,119,Labrador Retriever,Mischling,NA,NA,I,2001,m,beige/weiss,2001-05-10
82127,61-70,m,7,72,Jack Russel Terrier,NA,NA,NA,K,2001,m,tricolor,2001-05-10
82192,71-80,w,11,111,Phalène,NA,NA,NA,K,2001,m,braun/weiss,2001-05-10
82240,71-80,w,10,101,Rauhaar Dackel,NA,NA,NA,K,2001,m,saufarben,2001-03-10
83454,71-80,w,3,31,Mischling klein,NA,NA,NA,K,2001,w,braun,2001-04-10
83638,41-50,w,11,111,Toyterrier,NA,NA,NA,K,2001,w,braun/beige,2001-02-10
83874,51-60,w,10,102,Bergamasker,NA,Collie,NA,I,2001,w,grau,2001-04-10
84540,81-90,w,6,63,Papillon,NA,NA,NA,K,2001,m,weiss/braun,2001-01-10
84834,81-90,w,11,111,Border Collie,Mischling,NA,NA,I,2001,w,schwarz/weiss,2001-01-10
85240,61-70,m,11,119,Berner Sennenhund,Mischling,NA,NA,I,2001,w,braun/weiss,2001-05-10
85353,81-90,m,6,63,Papillon,NA,NA,NA,K,2001,w,tricolor,2001-05-10
85812,61-70,m,10,101,Zwergpudel,NA,NA,NA,K,2001,m,schwarz,2001-07-10
85923,51-60,w,6,63,Jack Russel Terrier,NA,NA,NA,K,2001,m,tricolor,2001-07-10
86060,71-80,m,3,33,Mischling klein,NA,NA,NA,K,2001,w,schwarz/braun,2001-06-10
86088,41-50,w,4,44,Bergamasker,Mischling,NA,NA,I,2001,m,grau/schwarz,2001-12-10
86124,71-80,m,4,41,Dackel,NA,NA,NA,K,2001,m,rot,2001-03-10
86133,51-60,w,10,101,Bergamasker,NA,Appenzeller,NA,I,2001,m,blue merle/weiss,2001-12-10
86140,61-70,w,2,23,Cairn Terrier,NA,NA,NA,K,2001,w,beige,2001-01-10
86167,41-50,w,10,101,Cocker Spaniel,Mischling,NA,NA,K,2001,w,schwarz,2001-05-10
86181,51-60,w,10,101,Labrador Retriever,NA,NA,NA,I,2001,w,gelb,2001-04-10
86201,41-50,w,3,31,Parson Jack Russell Terrier,NA,NA,NA,K,2001,w,weiss/braun,2001-02-10
86207,41-50,w,3,33,Yorkshire Terrier,NA,NA,NA,K,2001,m,blue/tan,2001-07-10
86238,51-60,w,3,33,Toypudel,NA,NA,NA,K,2001,m,schwarz/braun,2001-05-10
86263,51-60,w,9,92,Mischling klein,NA,NA,NA,K,2001,m,tricolor,2001-10-10
86289,51-60,w,11,119,Pekingese,NA,NA,NA,K,2001,m,braun/weiss,2001-07-10
86309,61-70,m,9,91,Vizsla,NA,NA,NA,I,2001,w,gelb,2001-05-10
86374,61-70,w,10,102,Norwich Terrier,NA,NA,NA,K,2001,w,rot,2001-07-10
86391,41-50,w,3,33,Mischling klein,NA,NA,NA,K,2001,w,schwarz/weiss,2001-04-10
86447,61-70,w,10,101,Irish Terrier,NA,NA,NA,I,2001,w,rot,2001-12-10
86506,61-70,w,6,61,Yorkshire Terrier,NA,NA,NA,K,2001,w,blue/tan,2001-11-10
86594,51-60,w,7,72,Pudel,NA,NA,NA,K,2001,m,schwarz,2001-10-10
86733,81-90,m,11,111,Pudel,Mischling,NA,NA,K,2001,w,weiss/beige,2001-10-10
86933,61-70,w,9,91,Sibirischer Husky,NA,NA,NA,I,2001,m,beige/grau/weiss,2001-04-10
87104,31-40,w,11,119,Pekingese,NA,NA,NA,K,2001,m,braun,2001-11-10
87117,61-70,w,10,101,Jack Russel Terrier,NA,NA,NA,K,2001,w,schwarz/weiss,2001-09-10
87241,31-40,w,2,21,Mischling klein,NA,NA,NA,K,2001,w,braun/schwarz,2001-10-10
87289,51-60,w,7,74,Mittelschnauzer,NA,NA,NA,I,2001,m,schwarz,2001-01-10
88146,61-70,m,1,13,Terrier,Mischling,NA,NA,K,2001,m,schwarz,2001-03-10
88279,41-50,w,6,61,Jack Russel Terrier,NA,NA,NA,K,2001,m,schwarz/weiss,2001-04-10
88384,41-50,w,6,63,West Highland White Terrier,NA,NA,NA,K,2001,w,weiss,2001-06-10
88493,41-50,m,10,101,Pinscher,NA,NA,NA,K,2001,m,schwarz/braun,2001-03-10
89166,81-90,w,7,73,Malteser,NA,NA,NA,K,2001,w,weiss,2001-08-10
89195,41-50,w,10,101,Mischling klein,NA,NA,NA,K,2001,m,weiss,2001-06-10
89322,71-80,w,4,42,Deutscher Schäfer,NA,NA,NA,I,2001,w,schwarz/braun,2001-11-10
89687,31-40,m,6,63,Podenco,NA,NA,NA,I,2001,w,braun/weiss,2001-01-10
90588,31-40,w,9,92,Labrador Retriever,NA,NA,NA,I,2001,m,schwarz/weiss,2001-07-10
94862,41-50,w,12,121,Mischling klein,NA,NA,NA,K,2001,w,tricolor,2001-09-10
95364,31-40,w,9,92,Golden Retriever,NA,Labrador Retriever,NA,I,2001,m,blond/weiss,2001-04-10
98254,51-60,w,7,73,Chihuahua,NA,NA,NA,K,2001,m,tricolor,2001-11-10
98254,51-60,w,7,73,Chihuahua,NA,NA,NA,K,2001,w,choco,2001-08-10
98411,71-80,w,11,119,Labrador Retriever,NA,NA,NA,I,2001,w,schwarz,2001-04-10
98574,41-50,w,10,102,Mischling klein,NA,NA,NA,K,2001,m,tricolor,2001-04-10
98791,71-80,w,6,63,Pekingese,NA,NA,NA,K,2001,w,braun,2001-01-10
99334,31-40,w,4,44,Mischling klein,NA,NA,NA,K,2001,w,schwarz/weiss,2001-09-10
101515,61-70,w,11,115,Mischling klein,NA,NA,NA,K,2001,m,creme,2001-04-10
104131,41-50,w,8,81,Mischling klein,NA,NA,NA,K,2001,w,schwarz/weiss,2001-12-10
106931,31-40,m,4,44,Mischling klein,NA,NA,NA,K,2001,m,braun/beige,2001-01-10
109204,41-50,w,11,119,Papillon,NA,NA,NA,K,2001,m,weiss/schwarz,2001-01-10
111497,81-90,w,8,81,Shih Tzu,NA,NA,NA,K,2001,w,grau/weiss,2001-12-10
115665,41-50,w,12,123,Jack Russel Terrier,Mischling,NA,NA,K,2001,w,schwarz/weiss,2001-11-10
115813,61-70,m,9,91,Yorkshire Terrier,NA,NA,NA,K,2001,m,steelblue,2001-01-10
120224,81-90,w,7,72,Tibet Terrier,NA,NA,NA,K,2001,w,black/tan,2001-03-10
120328,41-50,m,4,42,Pudel,Mischling,NA,NA,K,2001,m,weiss,2001-08-10
121486,51-60,w,12,123,Langhaardackel,NA,NA,NA,K,2001,w,rotbraun,2001-11-10
123248,31-40,w,10,101,Labrador Retriever,NA,NA,NA,I,2001,m,blondfarben,2001-12-10
123455,41-50,w,9,91,Parson Jack Russell Terrier,NA,NA,NA,K,2001,m,weiss,2001-02-10
123699,61-70,m,7,74,Yorkshire Terrier,NA,NA,NA,K,2001,m,braun/schwarz,2001-06-10
125475,51-60,w,5,52,Shih Tzu,NA,NA,NA,K,2001,m,braun/weiss,2001-02-10
126309,41-50,m,4,42,Tibetan Spaniel,NA,NA,NA,K,2001,w,tricolor,2001-05-10
126390,81-90,w,2,23,Pinscher,Mischling,NA,NA,K,2001,w,braun,2001-12-10
126844,51-60,w,9,91,Pekingese,NA,NA,NA,K,2001,w,schwarz/braun,2001-08-10
127400,61-70,w,6,61,Yorkshire Terrier,NA,NA,NA,K,2001,m,blue/tan,2001-01-10
128050,61-70,m,9,92,Lhasa Apso,NA,NA,NA,K,2001,m,braun/weiss,2001-03-10
131891,31-40,w,8,83,Malteser,NA,NA,NA,K,2001,w,weiss,2001-12-10
135332,61-70,w,4,44,Mischling klein,NA,NA,NA,K,2001,w,schwarz/braun,2001-07-10
